Subject,Start Date
Battle of the Nile - Nelson destroys French fleet in Egypt,08/01/1798
Sikh Empire founded,03/19/1799
Napoleon becomes First Consul of France,05/09/1799
Rosetta Stone discovered in Egypt by French soldiers,07/15/1799
Rosetta Stone discovered,09/14/1799
Napoleon Bonaparte seizes power in France in coup of 18 Brumaire,11/09/1799
George Washington dies at Mount Vernon,12/14/1799
Napoleon defeats Austria at Battle of Marengo,06/14/1800
Capital of US moved to Washington DC,06/19/1800
Alessandro Volta invents electric battery,06/22/1800
Electric battery invented,09/27/1800
Act of Union - Ireland joins United Kingdom of Great Britain,01/01/1801
Thomas Jefferson inaugurated as US President,03/04/1801
Concordat between Napoleon and Pope Pius VII,07/15/1801
Treaty of Amiens - peace between France and Britain (short-lived),03/27/1802
William Cobbett begins Political Register in England,07/01/1802
Napoleon becomes Consul for Life,08/02/1802
Napoleonic Wars resume after Treaty of Amiens breaks down,01/30/1803
Louisiana Purchase - US doubles in size buying from Napoleon,04/30/1803
Robert Emmet's failed rebellion in Ireland,10/07/1803
Haiti becomes first black republic after revolution against France,01/01/1804
Haitian Revolution completes - Haiti independent,01/01/1804
Lewis and Clark Expedition begins,02/05/1804
Napoleon promulgates Napoleonic Code of law,03/21/1804
Napoleon becomes Emperor of France,04/17/1804
French First Empire founded,08/12/1804
Steam locomotive invented,11/11/1804
Third Coalition against Napoleon defeated,04/16/1805
Battle of Trafalgar - Nelson defeats French-Spanish fleet,10/21/1805
Battle of Austerlitz - Napoleon defeats Austria and Russia,12/02/1805
Battle of Austerlitz - Napoleon's greatest victory,12/02/1805
Holy Roman Empire abolished by Napoleon,08/06/1806
Battle of Jena - Napoleon destroys Prussian army,10/14/1806
Continental System - Napoleon blockades British trade,12/24/1806
Treaty of Tilsit - France and Russia divide Europe,07/07/1807
Abolition of the Slave Trade Act in Britain,12/09/1807
Napoleon invades Portugal,12/09/1807
Napoleon places brother Joseph on Spanish throne,03/23/1808
Peninsular War begins - Spain and Portugal vs France,04/16/1808
Atomic theory developed,04/21/1808
Beethoven completes Fifth Symphony,11/08/1808
Abraham Lincoln and Charles Darwin born on same day,02/12/1809
Canned food invented,06/08/1809
Battle of Wagram - Napoleon defeats Austria again,07/05/1809
Battle of Talavera - British victory in Spain,07/27/1809
Napoleon marries Marie Louise of Austria,04/01/1810
Mexico begins war of independence from Spain,09/16/1810
Wellington advances in Peninsular War,10/02/1810
Napoleonic Wars at their peak,11/12/1810
Prince of Wales becomes Regent for mad George III,02/05/1811
Battle of Fuentes d'Onoro - Wellington defeats French,05/05/1811
Luddite riots in England - workers smash industrial machines,07/06/1811
Battle of Borodino - massive casualties on both sides,09/07/1812
Napoleon's Grande Armée retreats from Moscow in winter,10/15/1812
Napoleon's invasion of Russia,10/28/1812
Wellington enters France after Peninsular victories,04/25/1813
Battle of Lake Erie - US defeats British,09/10/1813
Battle of Leipzig (Battle of Nations) - Napoleon decisively defeated,10/16/1813
"Napoleon abdicates, exiled to Elba",04/11/1814
British burn Washington DC including White House,08/24/1814
Congress of Vienna begins to redraw European borders,09/01/1814
Battle of Waterloo - Wellington and Blucher defeat Napoleon,06/18/1815
Battle of Waterloo - Napoleon's final defeat,06/18/1815
Napoleon exiled to St Helena,06/29/1815
Congress of Vienna redraws European map,07/18/1815
Mary Shelley begins writing Frankenstein,01/19/1816
Argentina declares independence from Spain,07/09/1816
Year Without a Summer - Tambora eruption causes global cooling,10/20/1816
Chile declares independence from Spain,09/12/1817
Bicycle invented,10/06/1817
Erie Canal construction begins in New York,11/13/1817
James Monroe inaugurated as US President,12/14/1817
Mary Shelley publishes Frankenstein,01/01/1818
Congress of Aix-la-Chapelle - Concert of Europe meets,05/13/1818
"Chile gains independence, Battle of Chacabuco",06/06/1818
US purchases Florida from Spain for 5 million dollars,02/22/1819
Simon Bolivar defeats Spanish at Battle of Boyaca,08/07/1819
Peterloo Massacre - cavalry charge kills protesters in Manchester,08/16/1819
Gran Colombia founded,12/27/1819
Missouri Compromise in the US,02/20/1820
"Revolution of 1820 - liberal revolts in Spain, Portugal, Italy",02/26/1820
Missouri Compromise - Missouri admitted as slave state,04/08/1820
Peru and Mexico declare independence from Spain,03/06/1821
Napoleon dies in exile on St Helena,05/05/1821
Greek War of Independence begins,05/25/1821
Empire of Brazil founded,05/01/1822
Empire of Brazil declared independent,07/12/1822
"Champollion deciphers Rosetta Stone, unlocks Egyptian hieroglyphics",08/16/1822
Greek independence struggle continues,12/28/1822
Monroe Doctrine established in US foreign policy,02/13/1823
Ottoman Empire cedes much of Serbia to autonomy,10/01/1823
Monroe Doctrine - US warns European powers against American colonization,12/02/1823
Beethoven's Ninth Symphony premiered,09/15/1824
Battle of Ayacucho - Bolivar completes liberation of South America,12/09/1824
Nicholas I becomes Tsar of Russia,06/04/1825
First railroad opened between Stockton and Darlington,10/03/1825
Erie Canal opens in New York,10/26/1825
Decembrist Revolt in Russia suppressed by Nicholas I,12/26/1825
Milos Obrenovic creates autonomous Serbia under Ottoman suzerainty,03/04/1826
First photograph taken by Nicephore Niepce (approximately),08/15/1826
"Greek independence struggle continues, Byron died fighting for Greece",11/05/1826
First photograph taken by Joseph Nicephore Niepce,03/17/1827
Beethoven dies,03/26/1827
John Adams and Thomas Jefferson both die on July 4th,05/12/1827
"Battle of Navarino - Allied fleet destroys Ottoman fleet, aids Greek independence",10/20/1827
Duke of Wellington becomes British Prime Minister,01/22/1828
US-Canadian border settled at 49th parallel,02/13/1828
Noah Webster publishes American Dictionary of English Language,04/14/1828
Catholic Emancipation Act in Britain allows Catholics to hold office,04/13/1829
London Metropolitan Police founded by Robert Peel,09/29/1829
Greek independence recognized,11/15/1829
Indian Removal Act signed by Andrew Jackson,03/02/1830
July Revolution in France,03/07/1830
Indian Removal Act forces Native Americans west of Mississippi,05/28/1830
"July Revolution - Charles X overthrown in France, Louis-Philippe becomes king",07/28/1830
Belgian Revolution - Belgium gains independence from Netherlands,08/07/1830
Belgium formally recognized as independent state,07/10/1831
Nat Turner's slave rebellion in Virginia,08/21/1831
Charles Darwin begins voyage on HMS Beagle,12/27/1831
Great Reform Act extends voting rights in Britain,06/07/1832
First Reform Act in Britain,07/05/1832
Black Hawk War - final Native American resistance east of Mississippi,10/12/1832
Goethe completes Faust Part II before dying,11/07/1832
Telegraph invented,12/26/1832
Texas colonists led by Stephen Austin resist Mexican rule,03/03/1833
Abolition of slavery in British Empire,04/18/1833
Internal combustion engine invented,06/19/1833
American Anti-Slavery Society founded by William Lloyd Garrison,09/24/1833
Tolpuddle Martyrs transported to Australia for forming union,01/11/1834
Spanish Inquisition formally abolished,03/29/1834
Poor Law Amendment Act creates Victorian workhouse system in Britain,08/14/1834
Texas Revolution begins against Mexican rule,05/21/1835
Samuel Colt patents revolver,07/04/1835
Alexis de Tocqueville publishes Democracy in America,12/22/1835
Battle of the Alamo - 189 defenders killed by Mexican army,03/06/1836
Charles Darwin returns from Beagle voyage with evolution evidence,03/10/1836
Battle of San Jacinto - Texas wins independence from Mexico,04/21/1836
Panic of 1837 - US financial crisis,01/28/1837
Victoria becomes Queen of England,06/16/1837
Samuel Morse demonstrates telegraph,07/19/1837
Photography invented,09/23/1837
"People's Charter published, beginning Chartist movement in Britain",05/08/1838
Trail of Tears - Cherokee forcibly relocated from Southeast US,08/09/1838
First photograph taken of the moon,12/12/1838
Louis Daguerre announces daguerreotype photography process,01/07/1839
First Chartist petition presented to British Parliament,04/21/1839
First Opium War between Britain and China,10/11/1839
Treaty of Waitangi - Britain and Maori establish New Zealand,02/06/1840
Queen Victoria marries Prince Albert,02/10/1840
Penny Black - world's first adhesive postage stamp issued,05/01/1840
First Opium War continues with British advances in China,03/17/1841
"William Henry Harrison dies 31 days into US presidency, John Tyler succeeds",04/04/1841
David Livingstone begins African exploration,06/24/1841
"Britain's retreat from Kabul - Afghan massacre of 16,000",01/07/1842
Anesthesia first used in surgery,02/08/1842
Anesthesia demonstrated using ether,08/19/1842
"Treaty of Nanking ends First Opium War, Hong Kong ceded to Britain",08/29/1842
Great Migration of Boers begins in South Africa (Voortrekkers),10/12/1843
Oregon Trail seeing first major wagon trains to Pacific Northwest,10/26/1843
Charles Dickens publishes A Christmas Carol,12/17/1843
Samuel Morse sends first telegraph message,05/24/1844
Karl Marx and Friedrich Engels begin collaboration,08/20/1844
Bab founds Baha'i precursor faith in Persia,12/23/1844
Frederick Douglass publishes Narrative of the Life of Frederick Douglass,06/13/1845
Irish Potato Famine begins,10/17/1845
Texas annexed by United States,12/29/1845
Mexican-American War begins after US annexes Texas,05/13/1846
Oregon Treaty establishes 49th parallel border with Britain,06/15/1846
"Potato famine devastates Ireland, massive emigration begins",10/31/1846
Battle of Buena Vista - Taylor defeats Santa Anna in Mexico,02/22/1847
Liberia becomes first African republic,07/26/1847
Charlotte Bronte publishes Jane Eyre,12/30/1847
Marx and Engels publish Communist Manifesto,01/10/1848
Revolutions of 1848 across Europe,07/14/1848
Seneca Falls Convention - women's suffrage movement,07/19/1848
"Women's Rights Convention at Seneca Falls, New York",07/19/1848
California Gold Rush,08/29/1848
"Revolutions of 1848-49 fail, reactionary governments restored",03/01/1849
"Harriet Tubman escapes slavery, begins Underground Railroad work",03/20/1849
"California Gold Rush - 90,000 forty-niners head west",09/15/1849
Taiping Heavenly Kingdom rebellion begins in China,02/12/1850
Elizabeth Barrett Browning publishes Sonnets from the Portuguese,06/11/1850
California admitted as free state in Compromise of 1850,09/09/1850
"Great Exhibition held in Crystal Palace, London",05/01/1851
Herman Melville publishes Moby Dick,08/15/1851
Louis Napoleon Bonaparte seizes power in France,12/02/1851
Harriet Beecher Stowe publishes Uncle Tom's Cabin,05/16/1852
South African Republic (Transvaal) established by Boers,09/11/1852
"Crimean War begins - Russia vs Ottoman Empire, France, Britain",03/01/1853
Commodore Perry opens Japan to western trade,07/08/1853
Gadsden Purchase - US buys southern Arizona from Mexico,12/30/1853
Japan opens ports to US and Western powers,03/25/1854
Kansas-Nebraska Act - popular sovereignty on slavery in territories,05/30/1854
Battle of Balaclava - Charge of the Light Brigade,10/25/1854
Alexander II becomes Tsar of Russia,03/02/1855
Plastic invented,04/16/1855
Siege of Sevastopol - Russians capitulate to Allied forces,09/09/1855
David Livingstone discovers Victoria Falls in Africa,11/17/1855
Crimean War ends,01/23/1856
Treaty of Paris ends Crimean War,03/30/1856
"Second Opium War begins between Britain, France and China",05/12/1856
Bessemer steel-making process invented,12/05/1856
Dred Scott decision in US Supreme Court,03/06/1857
Indian Mutiny (First War of Independence) against British rule,05/10/1857
Atlantic telegraph cable laid temporarily,08/24/1857
Indian Rebellion (Sepoy Mutiny),10/21/1857
"Visions of the Virgin Mary at Lourdes, France (Bernadette)",02/11/1858
British Crown takes direct control of India from East India Company,08/02/1858
Lincoln-Douglas debates on slavery,08/14/1858
Natural selection theory published,12/19/1858
"Italy: Austro-Sardinian War, French intervention leads to Italian unification",06/13/1859
John Brown's raid on Harpers Ferry,10/16/1859
Darwin publishes On the Origin of Species,11/24/1859
Garibaldi's Expedition of the Thousand unifies southern Italy,05/30/1860
Telephone invented,08/27/1860
"Second Opium War ends, China cedes more territory and rights",10/18/1860
"Abraham Lincoln elected US President, South begins seceding",11/06/1860
Kingdom of Italy unified,02/11/1861
Tsar Alexander II emancipates Russian serfs,03/03/1861
Italy unified under Victor Emmanuel II,03/17/1861
US Civil War begins at Fort Sumter,04/12/1861
Battle of Hampton Roads - first battle of ironclad warships,03/08/1862
Battle of Antietam - bloodiest single day in American Civil War,09/17/1862
Bismarck becomes Chancellor of Prussia,09/23/1862
Emancipation Proclamation frees slaves in Confederate states,01/01/1863
Emancipation Proclamation issued by Lincoln,01/01/1863
"Battle of Gettysburg - Union victory, turning point of Civil War",07/01/1863
Battle of Gettysburg,07/01/1863
Battle of Vicksburg - Grant splits Confederacy,07/04/1863
Austro-Prussian-Danish War - Prussia and Austria take Schleswig-Holstein,03/31/1864
Sherman's March to Sea devastates Confederate heartland,06/12/1864
First Geneva Convention establishes rules of warfare,08/22/1864
"Lee surrenders to Grant at Appomattox, Civil War ends",04/09/1865
US Civil War ends,04/09/1865
Abraham Lincoln assassinated,04/14/1865
13th Amendment abolishes slavery in United States,12/06/1865
Battle of Sadowa (Koniggratz) - Prussia crushes Austria,07/03/1866
First successful transatlantic telegraph cable laid,07/27/1866
Austro-Prussian War - Prussia defeats Austria in Seven Weeks War,09/30/1866
US purchases Alaska from Russia for 7.2 million dollars,03/30/1867
Austro-Hungarian Empire founded,04/28/1867
Canadian Confederation,06/29/1867
Canada becomes a Dominion,07/01/1867
Karl Marx publishes Das Kapital Vol. 1,09/14/1867
Austro-Hungarian Compromise creates Dual Monarchy,11/21/1867
"Meiji Restoration - Japan modernizes, imperial power restored",01/03/1868
14th Amendment grants citizenship to freed slaves in US,02/17/1868
Treaty of Burlingame opens China to US immigration,05/19/1868
Meiji Restoration in Japan,12/23/1868
Frozen food invented,12/29/1868
Transcontinental railroad completed in US,05/10/1869
Mahatma Gandhi born in India,10/02/1869
"Suez Canal opens, connecting Mediterranean to Red Sea",11/17/1869
Suez Canal opens,11/17/1869
Standard Oil founded by John D. Rockefeller,04/08/1870
"Franco-Prussian War begins, Napoleon III captured at Sedan",07/19/1870
French Third Republic proclaimed after Napoleon III captured,09/04/1870
Papal States absorbed into unified Italy,09/20/1870
German Empire proclaimed at Versailles under Wilhelm I,01/18/1871
Paris Commune,02/17/1871
Paris Commune uprising and brutal suppression,03/18/1871
German Empire founded,04/11/1871
Treaty of Frankfurt ends Franco-Prussian War,05/10/1871
Yellowstone established as first US National Park,03/01/1872
Jules Verne publishes Around the World in 80 Days,04/02/1872
Bismarck's Kulturkampf against Catholic Church in Germany,12/10/1872
Stanley meets Livingstone in Africa,01/06/1873
Zanzibar slave market closed under British pressure,06/05/1873
Panic of 1873 - global economic depression,09/22/1873
British annex Fiji Islands,02/19/1874
Benjamin Disraeli becomes British Prime Minister,02/20/1874
Impressionism emerges with first exhibition in Paris,04/15/1874
Sino-Japanese tensions grow over Korea,04/01/1875
Britain buys controlling interest in Suez Canal from Egypt,08/17/1875
Third Republic in France adopts Constitution,12/13/1875
Telephone invented by Alexander Graham Bell,01/28/1876
Korea opened to trade under Japanese pressure,02/25/1876
"Battle of Little Bighorn - Custer's Last Stand, Sioux defeat US cavalry",06/25/1876
Queen Victoria proclaimed Empress of India,01/01/1877
Thomas Edison invents phonograph,05/14/1877
"Russo-Turkish War - Russia defeats Ottomans, Bulgaria gains autonomy",07/22/1877
Congress of Berlin settles Balkan question after Russo-Turkish war,02/25/1878
Treaty of Berlin - Russia's Balkan gains reduced,07/13/1878
Britain occupies Cyprus in exchange for Ottoman Alliance,09/01/1878
"Anglo-Zulu War - Isandlwana massacre of British forces, then Zulu defeated",01/22/1879
Albert Einstein born,03/14/1879
Thomas Edison invents practical incandescent light bulb,10/21/1879
Edison invents the light bulb,10/27/1879
France establishes protectorate over Tahiti,01/20/1880
First Boer War begins in South Africa,05/20/1880
Gladstone becomes British Prime Minister again,12/16/1880
Battle of Majuba Hill - Boers defeat British,02/27/1881
Tsar Alexander II of Russia assassinated,03/13/1881
"Garfield assassinated, Chester Arthur becomes US President",09/19/1881
Robert Koch identifies tuberculosis bacterium,03/24/1882
"Triple Alliance formed - Germany, Austria-Hungary, Italy",05/20/1882
Britain occupies Egypt,06/10/1882
Brooklyn Bridge opens in New York,05/24/1883
Otto von Bismarck introduces health insurance in Germany,08/13/1883
"Krakatoa volcano erupts, causing global effects",08/27/1883
Mark Twain publishes Adventures of Huckleberry Finn,07/24/1884
Berlin Conference divides Africa among European powers,07/30/1884
"Maxim gun invented, revolutionizing warfare",12/06/1884
Fall of Khartoum - Gordon killed by Mahdist forces in Sudan,01/26/1885
Carl Benz patents first true automobile,01/29/1885
Indian National Congress founded,12/28/1885
Haymarket Affair in Chicago during labor protests,05/04/1886
Statue of Liberty dedicated in New York,08/23/1886
"Geronimo surrenders, Apache resistance in US ends",09/04/1886
Scramble for Africa intensifies among European powers,02/04/1887
Sherlock Holmes first appears in A Study in Scarlet,03/04/1887
Queen Victoria's Golden Jubilee,06/21/1887
Brazil abolishes slavery (last country in Western Hemisphere),05/13/1888
Karl Benz demonstrates his automobile publicly,07/20/1888
Jack the Ripper murders in London,12/03/1888
Oklahoma Land Rush opens Indian Territory to settlers,04/22/1889
Eiffel Tower completed in Paris,04/23/1889
"Brazil becomes republic, Emperor Pedro II deposed",11/15/1889
Bismarck dismissed by Kaiser Wilhelm II,03/18/1890
US Census declares frontier closed,09/23/1890
Wounded Knee Massacre - US cavalry kills 250 Sioux,12/29/1890
Wounded Knee massacre,12/29/1890
US Carnegie Hall opens in New York,05/05/1891
Pope Leo XIII issues Rerum Novarum on workers' rights,05/15/1891
Trans-Siberian Railway construction begins,05/31/1891
Ellis Island opens as US immigration center,01/01/1892
Homestead Strike at Carnegie Steel,07/12/1892
Diesel engine invented by Rudolf Diesel,12/23/1892
Panic of 1893 - US financial crisis,02/14/1893
World's Columbian Exposition (Chicago World's Fair),05/01/1893
New Zealand first country to grant women right to vote,09/19/1893
Dreyfus Affair begins in France - wrongful treason conviction,06/08/1894
Sino-Japanese War begins over Korea,08/01/1894
Nicholas II becomes last Tsar of Russia,11/01/1894
"Japan defeats China in Sino-Japanese War, gains Korea and Taiwan",04/17/1895
Wilhelm Röntgen discovers X-rays,11/08/1895
Lumiere brothers show first motion picture publicly,12/28/1895
"Battle of Adwa - Ethiopia defeats Italy, preserving independence",03/01/1896
First modern Olympic Games held in Athens,04/06/1896
Marconi patents wireless telegraph,08/21/1896
"Theodore Herzl publishes The Jewish State, founding modern Zionism",03/27/1897
Queen Victoria's Diamond Jubilee,06/22/1897
"First Zionist Congress in Basel, Switzerland",08/29/1897
"Spanish-American War - US defeats Spain, gains Cuba, Puerto Rico, Philippines",04/21/1898
Fashoda Incident - France and Britain near war over Sudan,04/30/1898
"Battle of Omdurman - Kitchener defeats Mahdists, retakes Sudan for Britain",09/02/1898
Spanish-American War,12/09/1898
Hague Convention on Laws of War,08/17/1899
Boxer Rebellion begins in China against foreign influence,10/05/1899
Boxer Rebellion in China attacks foreign embassies,06/27/1900
Boxer Rebellion in China suppressed,07/01/1900
"International Relief Force captures Beijing, ends Boxer Rebellion",08/14/1900
Sigmund Freud publishes Interpretation of Dreams,11/05/1900
"Queen Victoria dies, Edward VII becomes king of Britain",01/22/1901
Queen Victoria dies,01/22/1901
Theodore Roosevelt becomes US President after McKinley assassination,09/14/1901
Assembly line introduced,12/01/1901
First Nobel Prizes awarded,12/10/1901
Cuba gains independence from US protectorate,05/20/1902
"Treaty of Vereeniging ends Boer War, Boers accept British rule",05/31/1902
Enrico Caruso makes first commercial gramophone recording,09/09/1902
Airplane invented,03/17/1903
Ford Motor Company founded by Henry Ford,06/16/1903
Panama separated from Colombia with US backing,11/03/1903
Wright Brothers first powered flight,12/17/1903
"Russo-Japanese War begins, Japan attacks Port Arthur",02/08/1904
Russo-Japanese War - Japan defeats Russia,04/07/1904
Entente Cordiale between France and Britain,04/08/1904
New York City subway opens,10/27/1904
Russian Revolution of 1905 after Bloody Sunday massacre,01/22/1905
Battle of Tsushima - Japan destroys Russian fleet,05/27/1905
Albert Einstein publishes special theory of relativity,06/30/1905
Special relativity published,09/30/1905
"Dreadnought launched, transforming naval warfare",02/10/1906
Algeciras Conference resolves first Moroccan crisis,04/07/1906
San Francisco earthquake,04/18/1906
Animation (film) created,04/19/1906
"Triple Entente formed - France, Britain, Russia",08/31/1907
New Zealand becomes Dominion within British Empire,09/26/1907
Oklahoma becomes 46th US state,11/16/1907
Model T Ford introduced,03/14/1908
Young Turk Revolution in Ottoman Empire,07/24/1908
Henry Ford introduces Model T automobile,10/01/1908
"Austria-Hungary annexes Bosnia-Herzegovina, crisis with Serbia",10/06/1908
William Taft inaugurated as US President,03/04/1909
Robert Peary reaches North Pole,04/06/1909
Louis Bleriot makes first flight across English Channel,07/25/1909
George V becomes king of Britain after Edward VII dies,05/06/1910
Mexican Revolution begins under Francisco Madero,06/18/1910
Japan annexes Korea as colony,08/29/1910
Aircraft carrier developed,07/30/1911
"Chinese Revolution - Qing dynasty overthrown, Republic established",10/10/1911
Agadir Crisis - second Moroccan crisis between France and Germany,11/29/1911
Roald Amundsen reaches South Pole,12/14/1911
New Mexico and Arizona admitted as US states,02/14/1912
"Titanic sinks on maiden voyage, 1,500 killed",04/15/1912
Titanic sinks,04/15/1912
First Balkan War - Balkan states defeat Ottoman Empire,10/08/1912
16th and 17th Amendments to US Constitution (income tax and direct Senate elections),04/02/1913
"Ford introduces moving assembly line, revolutionizing manufacturing",05/25/1913
Second Balkan War - former allies fight over spoils,06/27/1913
Battle of the Marne halts German advance,05/24/1914
"Archduke Franz Ferdinand assassinated, World War I begins",06/28/1914
World War I begins,07/28/1914
"Germany declares war on Russia and France, invades Belgium",08/01/1914
Britain declares war on Germany over Belgium invasion,08/04/1914
Gallipoli Campaign,02/17/1915
Germany uses poison gas at Second Battle of Ypres,04/22/1915
Armenian Genocide begins under Ottoman government,04/24/1915
Gallipoli campaign - Allied attempt to open Dardanelles fails,04/25/1915
Tanks used in warfare,01/30/1916
Battle of Verdun - France and Germany bleed each other white,02/21/1916
Easter Rising in Ireland against British rule,04/24/1916
Battle of the Somme - over 1 million casualties,07/01/1916
Battle of the Somme,07/01/1916
Russian Revolution - Tsar Nicholas II abdicates,03/16/1917
US enters World War I,04/06/1917
Balfour Declaration on Jewish homeland,11/02/1917
Bolshevik Revolution in Russia,11/07/1917
"Ottoman, Austro-Hungarian, and German empires collapse",05/01/1918
Spanish flu pandemic kills 50-100 million,09/30/1918
World War I ends with Armistice on the 11th hour of 11th day of 11th month,11/11/1918
Armistice Day ends World War I,11/11/1918
Amritsar Massacre - British kill hundreds of Indian protesters,04/13/1919
Treaty of Versailles signed,06/28/1919
League of Nations begins operation,01/10/1920
League of Nations founded,05/13/1920
Penicillin discovered,06/27/1920
19th Amendment - women's suffrage in US,08/18/1920
Irish War of Independence intensifies under Michael Collins,09/23/1920
Chinese Communist Party founded,07/01/1921
Washington Naval Conference limits warship sizes,11/03/1921
"Irish Free State negotiations, Anglo-Irish Treaty signed",12/06/1921
Ottoman Empire dissolved,03/26/1922
Soviet Union founded,05/03/1922
Irish Civil War begins between pro and anti-treaty factions,06/19/1922
"Mussolini's March on Rome, Fascists take power in Italy",10/28/1922
Fascist Italy established,12/22/1922
Soviet Union formally established,12/30/1922
Great Kanto Earthquake destroys Tokyo and Yokohama,09/01/1923
Turkish Republic proclaimed by Mustafa Kemal Ataturk,10/29/1923
Republic of Turkey founded,10/29/1923
Hitler's Beer Hall Putsch in Munich fails,11/08/1923
"Lenin dies, power struggle begins in Soviet Union",01/21/1924
First Labour government in Britain under Ramsay MacDonald,01/22/1924
Dawes Plan restructures German war reparations,08/23/1924
Benito Mussolini declares himself dictator of Italy,01/03/1925
Scopes Monkey Trial in Tennessee on teaching evolution,07/09/1925
Locarno Treaties - Germany reconciles with western neighbors,10/16/1925
General Strike in Britain paralyzes country for nine days,05/04/1926
Roald Amundsen flies over North Pole in airship,05/12/1926
Hirohito becomes Emperor of Japan,12/25/1926
"Stalin consolidates power in USSR, Trotsky expelled from party",02/11/1927
Charles Lindbergh makes first solo transatlantic flight,05/20/1927
The Jazz Singer - first talking motion picture,10/06/1927
Penicillin discovered by Alexander Fleming,05/06/1928
DNA structure described by Oswald Avery,05/06/1928
Women over 21 get full voting rights in Britain,07/02/1928
Sliced bread invented,08/01/1928
Kellogg-Briand Pact renounces war as instrument of policy,08/27/1928
DNA structure identified,11/17/1928
Lateran Treaty - Vatican City established as independent state,02/11/1929
Great Depression begins,10/19/1929
"Wall Street Crash, beginning Great Depression",10/24/1929
Black Thursday - Wall Street Crash,10/24/1929
Museum of Modern Art opens in New York City,11/07/1929
Pluto discovered by Clyde Tombaugh,02/18/1930
"Mahatma Gandhi leads Salt March, defying British salt tax",03/12/1930
Stalin begins forced collectivization in Soviet Union,05/08/1930
"Spain becomes Republic, King Alfonso XIII abdicates",04/14/1931
Empire State Building opens in New York City,05/01/1931
"Japan invades Manchuria, beginning long conflict with China",09/18/1931
Television demonstrated by John Logie Baird,02/07/1932
Lindbergh baby kidnapped and murdered,03/01/1932
Television invented,08/26/1932
Stalin's Soviet famine kills millions in Ukraine (Holodomor),10/24/1932
Franklin Roosevelt elected US President in landslide,11/08/1932
Hitler becomes Chancellor of Germany,01/30/1933
Roosevelt's New Deal begins to address Great Depression,02/02/1933
"Reichstag fire, Enabling Act gives Hitler dictatorial powers",02/27/1933
Nazi Germany established,08/25/1933
Night of the Long Knives - Hitler purges SA leadership,06/30/1934
Long March begins - Mao's Communist army retreats across China,10/16/1934
Stalin's Great Purge begins,11/10/1934
Social Security Act passed in United States,08/14/1935
Nuremberg Laws strip Jews of German citizenship,09/15/1935
Italy invades Ethiopia (Abyssinia),10/03/1935
German troops remilitarize Rhineland,03/07/1936
"Berlin Olympics, Jesse Owens wins four gold medals",08/01/1936
Spanish Civil War begins,11/21/1936
Hindenburg airship disaster in New Jersey,05/06/1937
Japan invades China - Second Sino-Japanese War begins,12/09/1937
"Nanjing Massacre - Japanese troops kill 200,000+ Chinese civilians",12/13/1937
Anschluss - Germany annexes Austria,03/12/1938
Munich Agreement - Britain and France allow Germany to take Sudetenland,09/30/1938
Munich Agreement appeases Hitler,09/30/1938
Kristallnacht - Nazi pogrom against Jews in Germany,11/09/1938
Computer invented,03/05/1939
Spanish Civil War ends with Franco's victory,04/01/1939
Soviet-German Non-Aggression Pact (Molotov-Ribbentrop),08/23/1939
World War II begins - Germany invades Poland,09/01/1939
"France falls to Germany, Dunkirk evacuation",05/03/1940
Battle of Britain,07/22/1940
Battle of Britain - RAF defeats Luftwaffe,08/13/1940
Trotsky assassinated in Mexico on Stalin's orders,08/21/1940
Germany invades Soviet Union (Operation Barbarossa),06/22/1941
"Siege of Leningrad begins, lasting 872 days",09/08/1941
Pearl Harbor attack - US enters World War II,12/07/1941
Wannsee Conference - Nazis plan Holocaust (Final Solution),01/20/1942
Nuclear reactor built,03/13/1942
"Battle of Midway - US defeats Japanese navy, turning point in Pacific",06/04/1942
Battle of Stalingrad,07/09/1942
"Battle of Stalingrad begins, turning point on Eastern Front",08/23/1942
German 6th Army surrenders at Stalingrad,02/02/1943
Holocaust - Nazi Germany's genocide of Jewish people,02/09/1943
Allied invasion of Sicily and Italy begins,07/09/1943
Mussolini overthrown and arrested,07/25/1943
D-Day - Allied invasion of Normandy,06/06/1944
Liberation of Paris from Nazi occupation,08/25/1944
Battle of the Bulge - last major German offensive in West,12/16/1944
Nuremberg Trials begin,02/03/1945
United Nations formed,05/15/1945
Nuclear weapon developed,06/17/1945
Atomic bomb dropped on Hiroshima,08/06/1945
World War II ends in Pacific (VJ Day),08/15/1945
World War II ends,09/02/1945
Winston Churchill's Iron Curtain speech,03/05/1946
Philippines gains independence from US,07/04/1946
Nuremberg Trials result in execution of Nazi war criminals,10/16/1946
Dead Sea Scrolls discovered in Qumran caves,02/10/1947
Marshall Plan announced to rebuild Europe,06/05/1947
Transistor invented,07/19/1947
India and Pakistan gain independence from Britain,08/15/1947
Indian independence and partition,08/15/1947
Berlin Blockade begins,01/16/1948
Marshall Plan aids European recovery,04/12/1948
State of Israel declared,05/14/1948
Israel declares independence,05/14/1948
Berlin Airlift counters Soviet blockade of West Berlin,06/26/1948
Universal Declaration of Human Rights adopted by UN,12/10/1948
NATO founded as western defense alliance,04/04/1949
NATO established,04/04/1949
West Germany (Federal Republic) officially established,05/23/1949
People's Republic of China proclaimed by Mao Zedong,10/01/1949
People's Republic of China founded,11/05/1949
McCarthy era - Red Scare in US,06/19/1950
Korean War begins with North Korea invading South,06/25/1950
Korean War begins,06/25/1950
